,rAB,rBC,rCD,rAC,rBD,rAD,C1,C2,C3,C4,lg
1144,0.026201325,0.010917497,0.021834517,0.032751537,0.015284305,0.037118345,7.63370178,36.63863467,7.633451743,349.5971534,8
1145,0.043589744,0.012820513,0.061415844,0.041025641,0.05629002,0.030654358,13.76470583,11.39619852,12.92917375,112.0615212,8
1146,0.030663634,0.102595987,0.113097334,0.072812559,0.023039568,0.041379908,9.607075504,8.30165606,6.95169061,67.69270409,8
1147,0.0257734,0.010280697,0.015230817,0.015497733,0.025510175,0.030718522,38.7902003,0.004276846,0.014478947,0.165927561,8
1148,0.017129475,0.5,0.01997944,0.5,0.5,0.5,1,1,0.000862537,0.000862537,8
1149,0.017431584,0.020289855,0.023188406,0.026123004,0.014492754,0.020330385,16.39659178,30.80357143,0.005557482,0.273589195,8
1150,0.022067043,0.049536321,0.021836497,0.042322383,0.02774816,0.020520437,13.39330441,20.16486527,0.027524121,0.133447663,8
1151,0.5,0.036012572,0.5,0.5,0.5,0.016821627,1,1,1.894339971,0.000116188,8
1152,0.050125313,0.050125313,0.029893207,0.040100251,0.039918269,0.029887912,11.97,13.38096667,0.001766792,1.31E-06,8
1153,0.006330803,0.001267512,0.012658228,0.007594937,0.011394067,0.015189873,0.210456546,78.8955754,15.79595178,0.131381537,8
1154,0.038513959,0.021319606,0.016502213,0.042878852,0.017427839,0.03898371,10.32435926,28.98348695,0.002654674,2.48E-13,8
1155,0.039663028,0.030306266,0.05194403,0.039663028,0.05194403,0.012323675,12.60619832,9.625745211,11.89099469,0.079700773,8
1156,0.037156964,0.009930903,0.5,0.032206771,0.5,0.5,20.16396567,1,1,20.16396567,8
1157,0.021226643,0.007075707,0.016509665,0.018868154,0.018868154,0.030660601,31.40680505,20.1905344,0.000340166,0.024037578,9
1158,0.017149817,0.037255909,0.009590719,0.027898171,0.045114202,0.028407796,20.74364306,2.424255803,22.33921976,5.57E-05,9
1159,0.016233997,0.00324699,0.009740494,0.019480749,0.006493742,0.0227275,0.002261537,102.6604335,0.000753883,0.11608944,9
1160,2.95E-06,0.020779221,0.012987013,0.02077882,0.023376623,0.023374238,27.33327971,19.25,26.25350516,8.494870916,9
1161,0.022622187,0.067357369,0.011562587,0.044926883,0.067216593,0.044785625,14.78328208,7.513469732,0.009542515,0.063992913,9
1162,0.008072922,0.5,0.5,0.5,0.024157731,0.026838533,1,1.951684538,1,1.332073254,9
1163,0.5,0.089455953,0.070486922,0.5,0.024419273,0.5,1,10.7465026,1,10.7465026,9
1164,0.024904621,0.009980159,0.5,0.029879442,0.5,0.5,10.06899299,1,1,10.06899299,9
1165,0.5,0.5,0.5,0.045743465,0.043054473,0.5,1.90851307,1.913891055,1.822582324,3.644986449,9
1166,0.034308856,0.5,0.037425107,0.5,0.5,0.5,1,1,0.011156359,0.011156359,9
1167,0.5,0.024659556,0.012345037,0.5,0.032048268,0.5,1,8.14052024,1,8.14052024,9
1168,0.011286682,0.045146727,0.012104333,0.042889391,0.04764937,0.040877441,13.28999997,8.785177207,16.52330044,0.006452516,9
1169,0.023585133,0.028302112,0.042453048,0.047170027,0.033019091,0.056603985,3.533448124,15.70358993,2.355638697,83.22980247,9
1170,0.045453505,0.078033797,0.027883612,0.040832202,0.05048137,0.01298065,11.65170666,12.73885585,0.121273823,0.020935911,9
1171,0.5,0.01456943,0.5,0.5,0.5,0.023293299,1,1,1.924275791,4.29E-05,9
1172,0.5,0.5,0.013850879,0.027701281,0.5,0.013850879,1.944597437,1,1,3.44E-05,9
1173,0.5,0.017562029,0.5,0.5,0.5,0.010041832,1,1,1.944792433,4.42E-06,9
1174,0.018070654,0.5,0.5,0.5,0.05930525,0.067036737,1,1.8813895,1,1.427847661,9
1175,0.5,0.017712488,0.5,0.5,0.5,0.015186377,1,1,1.934202814,1.54E-05,9
1176,0.5,0.033843506,0.5,0.5,0.5,0.053567848,1,1,1.82533048,0.002263175,9
1177,0.011215284,0.070809726,0.042336544,0.076400808,0.028713969,0.034317687,3.541014574,14.08219371,0.01734631,0.216445864,9
1178,0.5,0.5,0.025057983,0.047277493,0.5,0.055609809,1.905445014,1,1,1.332521414,9
1179,0.020591132,0.016491075,0.029640612,0.015077423,0.034351037,0.028808361,32.40096396,12.05044562,4.698737159,39.90467446,9
1180,0.5,0.005376816,0.021505833,0.5,0.026882172,0.5,1,0.002061858,1,0.002061858,9
1181,0.037972004,0.03797369,0.006976744,0.009302326,0.033322527,0.006976744,23.10897186,21.9450184,4.38919866,115.5852534,9
1182,0.016032266,0.03886504,0.020304569,0.038071066,0.023643416,0.027918782,13.50215395,22.50949671,7.807224766,200.6115669,9
1183,0.027041434,0.014726201,0.024506675,0.037497963,0.014042488,0.012998946,5.36097874,34.90034779,17.98006449,0.39239911,9
1184,0.5,0.00261144,0.018277222,0.5,0.015666258,0.5,1,54.70791528,1,54.70791528,9
1185,0.016000462,0.026667118,0.03466711,0.032000446,0.013333797,0.024000454,12.49997466,25.96099981,4.807917313,180.2857882,9
1186,0.050794079,0.044444879,0.06031788,0.06984168,0.041270279,0.06031788,5.62499782,11.84198483,1.036245098,0.000875446,9
1187,0.051269775,0.041984423,0.03366307,0.014154536,0.047097113,0.037817721,18.37363278,10.10043309,8.34693051,163.4068902,9
1188,0.080968076,0.071120922,0.025843291,0.132807798,0.081300372,0.139896058,1.674144208,4.261113166,0.738642325,8.22E-08,9
1189,0.014487812,0.007873217,0.009194448,0.017117525,0.006564732,0.013213699,22.98457825,72.54420199,9.741751735,0.001313448,9
1190,0.031235944,0.041979444,0.016668699,0.013108899,0.032373444,0.005925201,22.91923099,18.77454278,2.326172619,55.41217803,9
1191,0.009343586,0.007994289,0.009309591,0.014680105,0.006657119,0.013342934,17.79074045,71.52816413,1.14E-06,7.27E-05,9
1192,0.040956184,0.037123895,0.038167176,0.023308226,0.043300311,0.024520066,18.01168803,11.28888381,11.09208876,128.0053937,9
1193,0.171897922,0.225574372,0.051627412,0.06248339,0.19657856,0.02886381,4.31956529,3.461465848,0.344154832,0.185416537,9
1194,0.5,0.5,0.5,0.049225916,0.043759784,0.5,1.901548168,1.912480433,1.814253712,3.628282313,9
1195,0.009456499,0.007092434,0.007092434,0.011820564,0.009456499,0.014184629,35.24972055,46.99923241,0.001777397,0.125302339,9
1196,0.079457911,0.5,0.047190965,0.5,0.5,0.5,1,1,0.06332473,0.06332473,9
1197,0.5,0.5,0.012077975,0.019306449,0.5,0.016896958,1.961387101,1,1,0.800505343,9
1198,0.035000222,0.015000231,0.035000222,0.030000224,0.040000219,0.055000212,19.04742269,9.523824876,9.73E-05,0.003243699,9
1199,0.072359385,0.044962539,0.077680828,0.034942373,0.061518148,0.091707773,12.66029227,8.750356763,5.96349059,106.0914046,9
1200,0.022257913,0.069740522,0.061728936,0.053783995,0.02377754,0.014246325,12.30914438,12.50774824,2.33825292,33.5278752,9
